Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
1,97.0997346,141.836614,145.3048594,-47.56936383,-41.39446929,-78.98616029,27.00932023,10.73014884,24.63458506,-32.19294307,2.746003167,-74.70991507,119.7663222,119.497242,129.4444176,-32.27394841,4.384641911,13.16576457,11.46159266,17.97345771,50.73929621,-10.00084738,-7.667333659,-52.9944831
2,142.4938455,155.2718054,162.1450115,-36.9316963,-27.77794902,-32.08947593,24.40610187,18.63633135,27.65324899,-12.24368131,2.851538397,-34.64637402,156.7996311,137.0867343,147.7432462,-12.96659765,-1.78019583,2.981545946,12.58794292,14.13512272,34.5377765,-8.27670608,-6.719090469,-19.45692142
3,166.1150443,173.8053629,182.0842628,4.543294845,3.017004544,4.679614498,30.91004707,26.0926798,32.4544608,14.35382222,21.43607636,-4.145874351,176.1074664,149.098921,166.7765913,17.58774733,23.16830006,20.72888652,17.78729703,22.59982031,38.48639767,12.90025727,5.977867409,8.476666135
4,187.0038341,196.1140236,209.599259,-0.069967211,6.590397921,3.76077357,22.87616293,27.53004343,25.00782616,9.757748678,14.36279265,0.552755639,196.6027984,169.3171358,188.1778445,19.2385232,20.58991685,23.7037406,19.04594519,14.12064331,38.07330549,5.277094413,9.461898555,10.5536335
5,252.3134122,224.6530226,239.7286389,8.713159554,10.18866497,16.00268727,23.26892772,14.78264067,18.57152731,17.59797508,12.5734255,8.379482829,225.5894154,202.5370634,225.0395797,23.57100995,22.44414421,20.66972523,11.82475978,18.16996896,25.22293035,14.58529316,18.27179663,12.6310853
6,288.5180164,281.9576585,297.4928164,8.148563683,11.9335783,11.28542454,7.111338847,13.49827118,9.468141955,18.41801872,8.943882491,16.84967935,269.2603369,248.2732838,275.3620861,16.86000419,18.55245477,16.37265776,9.823089769,8.100390435,14.25321857,11.19423498,9.937139307,13.45914644
7,367.6850182,382.7369488,404.8980995,22.99342717,20.64764621,22.63329802,2.53669452,3.117323957,3.901087793,38.60433994,16.97601499,28.47680956,391.6133756,329.3326598,367.8196135,20.35264052,11.29676987,13.85257085,3.99559262,5.117732479,2.771655801,20.36004483,20.311142,13.64520612
8,526.0312181,562.5393249,595.0995081,10.10005672,13.61144358,5.191618581,-6.706196326,-4.725334353,-11.82790335,16.98573058,5.183832978,9.078565586,520.4206834,488.9160499,541.2326047,2.167128431,-3.716234292,0.934914913,0.640036647,-6.528671941,-13.28448608,12.86964478,13.92404682,13.39659053
9,819.127727,904.7765804,962.2098484,21.40800022,14.26621245,16.84342325,-11.00520482,-7.59922991,-8.678035286,19.85675514,15.01759933,17.58979126,806.326756,805.1888978,871.2448011,3.725923276,-0.954873975,-0.731432689,-9.853267765,-10.41873282,-13.63182476,15.77681375,17.62034459,15.14621277
10,1360.138909,1548.498943,1647.724458,10.35480386,8.374020487,5.264249656,-21.03646293,-18.91294831,-18.16253323,12.51559406,10.16607394,7.971984758,1314.759247,1385.716989,1488.371477,-10.40993741,-11.6025871,-9.257941493,-19.06010901,-15.59769611,-34.8679689,11.95310205,11.37667761,9.165347558
11,2338.578985,2689.191039,2861.444482,-9.913202727,-11.22754611,-8.310508534,-26.97815781,-26.04587852,-27.67200088,-6.381723337,-2.809060008,-4.417248627,2248.528741,2442.589409,2614.064096,-23.90256289,-22.01248244,-18.27108745,-14.84137943,-8.720477236,-36.6857776,-1.899776408,1.427847395,6.946319243
12,3729.140133,4316.543154,4573.615249,-12.12158976,-6.657230599,-12.39867153,-12.86012404,-19.25818648,-15.80894034,-4.274792974,-8.094946196,-4.178135891,3749.61157,4102.280753,4386.301616,-27.59012756,-24.43257109,-26.55170921,-5.419941945,-7.168889877,-31.32899224,-3.713692162,-2.845032489,1.661094168
13,5161.364867,5971.597879,6330.086458,-9.172763856,-11.45739341,-5.57052199,14.5637826,12.90382486,15.00102174,-6.081223524,-16.70527721,-5.327280313,5399.591059,5934.469276,6328.971862,-22.7561389,-23.64238012,-25.36291303,7.960634171,6.518244433,-17.84583694,-4.854635494,-8.415887183,-6.684367142
