Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
1,0.0001535871098000796,0.00015405594151721662,0.00015369573361629878,1.2044598496626706e-07,1.2077181066679618e-07,1.2016442179593704e-07,7.456143037360293e-07,7.409201917205746e-07,7.468013105388525e-07,1.100936371753714e-09,1.1005261940344362e-09,1.0507189527930586e-09,0.00013734875255804594,0.0001374838271932956,0.0001369686269287708,2.111324210885027e-07,2.1849365692366756e-07,2.1596022914423573e-07,4.734426639675041e-07,4.716974936822432e-07,4.6623562450926954e-07,7.902823382270053e-10,7.984146383183762e-10,8.447049504952508e-10
2,0.0003070388505221911,0.00030798001824513247,0.00030725967073610836,2.408919128716841e-07,2.4154356440475267e-07,2.4032878686433807e-07,1.4912261104485542e-06,1.4818379227785695e-06,1.4936001142867911e-06,2.20187273861787e-09,2.201052379878858e-09,2.1014379013076765e-09,0.00027459222622521515,0.00027486512529749987,0.00027383644243583456,4.2226467018659805e-07,4.369871252845263e-07,4.319202788906223e-07,9.468843223098898e-07,9.433939933941774e-07,9.324702853597503e-07,1.5805646740534982e-09,1.5968292741821406e-09,1.6894098982517563e-09
3,0.0006135371530405324,0.0006154334540958132,0.0006139930335846999,4.817835975001727e-07,4.830869010943499e-07,4.806573468187351e-07,2.98244223286724e-06,2.9636660029694993e-06,2.9871902014744802e-06,4.4037454576775075e-09,4.402104726997658e-09,4.202875785501589e-09,0.0005487639639658249,0.0005493207275108658,0.0005472702146093558,8.445286524126266e-07,8.739734963190515e-07,8.638398401909751e-07,1.8937646221356902e-06,1.8867840109231792e-06,1.864936716099609e-06,3.161129338504946e-09,3.193658538545834e-09,3.3788197855485307e-09
4,0.0012249195079624899,0.0012287675628892113,0.0012258878304740744,9.635662820292032e-07,9.661728913297044e-07,9.613137859993298e-07,5.964844514128191e-06,5.927292636089865e-06,5.974340295068967e-06,8.807490837122087e-09,8.804209322955087e-09,8.405751502548124e-09,0.0010958509715087773,0.0010970080912923287,0.0010929343347538143,1.6890545529914554e-06,1.747943975647972e-06,1.7276768100298894e-06,3.7875131544660945e-06,3.7735521185141375e-06,3.7298580138417577e-06,6.3222586386016936e-09,6.387317037817879e-09,6.757639527277133e-09
5,0.0024412784586189586,0.0024491931460510026,0.002443438198610503,1.9271289121869524e-06,1.9323421392364363e-06,1.92262394145909e-06,1.192952922593657e-05,1.1854427796794461e-05,1.194852016274914e-05,1.761498136131248e-08,1.760841812174929e-08,1.6811502731276044e-08,0.0021850337941884093,0.0021875202777048497,0.002179480717517336,3.37809809871556e-06,3.4958758834144047e-06,3.455342138723672e-06,7.574961950759603e-06,7.5470406247272285e-06,7.459654355230495e-06,1.2644517123570596e-08,1.2774633918540608e-08,1.3515278879274558e-08
6,0.004848775672252172,0.00486545416284122,0.004853962975218252,3.85424321699301e-06,3.864669704885054e-06,3.84523336086383e-06,2.385841927543445e-05,2.370822572413586e-05,2.389639864899035e-05,3.5229961470898275e-08,3.521683414685528e-08,3.3623004367271326e-08,0.004343707637137572,0.004349352947806204,0.004333696833801419,6.756152168904427e-06,6.991703495934524e-06,6.9106383526799995e-06,1.514966647721698e-05,1.509382680847263e-05,1.4919062028463163e-05,2.5289033632610054e-08,2.5549267208700648e-08,2.703055705743032e-08
7,0.009565989570504002,0.009602551718537708,0.009579648881755694,7.708428005301793e-06,7.729281116251407e-06,7.690408634341684e-06,4.7714282107804054e-05,4.7413932227130066e-05,4.7790230856292065e-05,7.045991793489045e-08,7.043365990713935e-08,6.724600435342015e-08,0.008584402802392704,0.008598255594944397,0.00856856783693526,1.3512128228043649e-05,1.3983213913346705e-05,1.382109301090714e-05,3.029830332432443e-05,3.018663591879136e-05,2.9837137391443995e-05,5.057806480709578e-08,5.1098531903879266e-08,5.4061111310385723e-08
8,0.018632387430892884,0.01871695059799316,0.018671495162638368,1.5416622302581257e-05,1.5458329065088302e-05,1.538058492579058e-05,9.541834054431405e-05,9.481778962252168e-05,9.557019806001554e-05,1.409198158421619e-07,1.4086728626800948e-07,1.344919911823546e-07,0.01677506832246491,0.0168120908442411,0.016758715270797874,2.7023552051756825e-05,2.7965655553039743e-05,2.7641451280932625e-05,6.0592488664915856e-05,6.036920157106714e-05,5.96703286209492e-05,1.0115611978169605e-07,1.0219705375367227e-07,1.08122211402874e-07
9,0.03545401616090139,0.03565980714187395,0.03557048232057757,3.0832309826785855e-05,3.0915725513797075e-05,3.07602405332151e-05,0.00019079580320231803,0.0001895952963321348,0.00019109935841431103,2.818395515738912e-07,2.817344383510675e-07,2.68983912266801e-07,0.03210609283408834,0.03221111438675088,0.03212495942506115,5.404428676399935e-05,5.592822233490697e-05,5.527996389373871e-05,0.0001211685096871057,0.00012072212628347696,0.0001193248765927677,2.023122002334245e-07,2.0439406729101442e-07,2.1624437793417578e-07
10,0.06485149164248016,0.06535907414945821,0.06518749740004037,6.166088096970299e-05,6.182772098824165e-05,6.151676421854412e-05,0.00038142822910878984,0.00037902959218787515,0.00038203470109941275,5.63678782706398e-07,5.63468339963332e-07,5.379675441422457e-07,0.05928610771852135,0.05958335719436253,0.05947309877450102,0.00010807730639184022,0.0001118440921719662,0.00011054817547756266,0.00024227118311800986,0.00024137917876925833,0.00023858666255722729,4.046242431470942e-07,4.0878797371682816e-07,4.3248857638220355e-07
