Cycle,A,B,C,D,E,F,G,H
1,0.000153779594977865,1.204607391430001e-07,7.444452686651521e-07,1.0840605061937361e-09,0.00013726706889337077,2.15195435718802e-07,4.704585940530056e-07,8.111339756802108e-10
2,0.0003074262064154262,2.4092142138064203e-07,1.4888880492239509e-06,2.16812100703679e-09,0.0002744312968703481,4.30390691562567e-07,9.409162004876249e-07,1.6222679488311996e-09
3,0.0006143213725315403,4.818426151400553e-07,2.977766146086278e-06,4.3362419926708515e-09,0.0005484518281093252,8.607806636261241e-07,1.8818284505176007e-06,3.2445358875455112e-09
4,0.0012265257040217845,9.636843197968254e-07,5.955492483236368e-06,8.67248389973079e-09,0.0010952653601673291,1.7215584492653158e-06,3.763641099331772e-06,6.489071734623471e-09
5,0.0024446397179906194,1.9273649976735483e-06,1.1910825734810314e-05,1.7344967457017937e-08,0.0021840153854851088,3.4431053866557547e-06,7.527218992867149e-06,1.2978143307376744e-08
6,0.004856076821689485,3.854715427770993e-06,2.3821014575627453e-05,3.4689933544261414e-08,0.00434226778144009,6.886164726394818e-06,1.5054185170686966e-05,2.5956285967272718e-08
7,0.009582778528475208,7.709372586072004e-06,4.763948183649993e-05,6.937986160942582e-08,0.008583801572538926,1.377214526978523e-05,3.010735914628518e-05,5.1912569344622595e-08
8,0.01867378814201746,1.5418512100939298e-05,9.526877650317221e-05,1.3875970130247026e-07,0.016782178066526706,2.754355384484932e-05,6.021067403293404e-05,1.038251283295558e-07
9,0.0355620270325874,3.083609197045756e-05,0.00019049682103178302,2.775193149394683e-07,0.03214813900191109,5.508416120914722e-05,0.00012040517519169665,2.0765021522036973e-07
10,0.06513440651694731,6.166845544235061e-05,0.00038083084766285844,5.55038279217474e-07,0.05944976799150639,0.00011015653888213399,0.0002407456921797056,4.15300264685897e-07
11,0.11249504915582581,0.00012332200030639674,0.0007610115834611666,1.1100751557925087e-06,0.10408863797670717,0.00022026596269807767,0.00048123301753727807,8.305998663534248e-07
12,0.18016456049038787,0.0002465843856111513,0.0015194312096657872,2.220144701042547e-06,0.16943728772399763,0.00044034361760061854,0.0009614346901216423,1.6611970806413779e-06
13,0.26586210036107766,0.0004929305294518487,0.003028561945961811,4.440266960133501e-06,0.254128573255395,0.0008799352212445627,0.0019187608899574452,3.3223835530849105e-06
14,0.3632301359170771,0.0009849098336176748,0.0060164519552129555,8.880444154206901e-06,0.3521308264715751,0.0017568720842000784,0.0038212215250581693,6.644724673890772e-06
15,0.46440947166793295,0.001966028635309903,0.011874318737324571,1.776052925814286e-05,0.45526720367986895,0.0035018276772130863,0.0075782896414018615,1.3289279622763869e-05
16,0.5622152632959626,0.003917003065136676,0.02314507639212262,3.551962242694647e-05,0.5557300735174366,0.006956594898110368,0.014908009727116001,2.6577880378243156e-05
17,0.6512857371116479,0.00777465252074041,0.04409370119717486,7.103350139031378e-05,0.6475375848012154,0.01372963732902081,0.02888116578336342,5.315304554960446e-05
18,0.7284483178045098,0.015318548049611766,0.08079155494408578,0.00014204403607368034,0.7270691711060986,0.02676027431774146,0.05443178295714688,0.0001062952323692136
19,0.7925575602835495,0.029763661244823988,0.13951780197385535,0.0002839962624529138,0.7929546041605889,0.05097404642787557,0.09803139151876858,0.0002125470465903914
20,0.8440149623344745,0.056379981927635624,0.22304137062633417,0.0005676257424662671,0.8455623327505458,0.09335838833529872,0.16530131421054844,0.00042492055463136993
21,0.8841813359648758,0.10233365929410725,0.32749491549101706,0.0011337879942653678,0.8863409674224098,0.1610259210130332,0.2569986797306503,0.0008491480252863038
22,0.9148508409684734,0.17428730304506715,0.44323497689851327,0.002261750954070021,0.9172222164918271,0.2566858652582856,0.3669671544258287,0.0016955322426562105
23,0.9378730546311735,0.27369192681777627,0.5586813764817402,0.004500430285094309,0.9401932661391529,0.37475064979802303,0.48433377031963143,0.0033800769418207374
24,0.9549324390766059,0.39360009842540555,0.6639808532526601,0.008910356910702398,0.9570513143053955,0.5024473622688062,0.5976419488519784,0.006716736792271969
25,0.9674514709639115,0.5207059434156661,0.7530185482128839,0.01747227616509477,0.9692999452534644,0.625063898424336,0.6980875605319725,0.013263939713437948
26,0.9765729451432196,0.6407604981111213,0.8237034473766685,0.03364955834383116,0.9781344768011491,0.7311692908555493,0.7809467759855976,0.025880874178498246
27,0.9831840997218217,0.743334050556461,0.8770346489177496,0.06278019149688015,0.9844727095561593,0.8152099597473355,0.8453606808670087,0.04939545361298802
28,0.9879575022418052,0.8238454045821422,0.9157153502595101,0.11133506319398515,0.9890025904013169,0.877142173730349,0.8931273509311161,0.09075681339593837
29,0.9913944670119919,0.8828472227403562,0.9429557653979125,0.18401479950616634,0.9922311628254012,0.9203116331319506,0.9272951450971196,0.15725255091751777
30,0.993864218421653,0.9238693727468178,0.9617359184010226,0.2799952230688259,0.9945277374168974,0.9492053881494553,0.9510960925832281,0.2520367334254041
31,0.9956363906444139,0.9513212135956518,0.9744913484746693,0.3920538129703101,0.9961590688256038,0.9680062054815397,0.9673652058001232,0.36996360853786453
32,0.9969066991574946,0.9692113495043261,0.9830660858078563,0.5094494356300658,0.9973167024398885,0.9800108615709776,0.9783407059228852,0.49834068474704263
33,0.997816591592842,0.9806652905097322,0.9887902389125942,0.6216775562863152,0.9981376070859309,0.9875824082809286,0.9856788174298226,0.6221509043959413
34,0.9984679796456367,0.987914247230348,0.9925935456903788,0.7209946919877609,0.9987194372176603,0.9923205604591658,0.9905553753302122,0.729522459380439
35,0.998934127823449,0.9924681099552888,0.9951126691366735,0.8033634416687724,0.9991316724025298,0.9952709633318151,0.9937830035031044,0.8145745603634992
36,0.99926762310426,0.9953155072583093,0.9967777393473403,0.868115765943551,0.9994236733755705,0.9971024612980378,0.9959135188005874,0.8771467392535989
37,0.9995061682563987,0.997090663539367,0.9978767862204622,0.9168871224370403,0.9996304711613858,0.9982371911473448,0.997317340981608,0.9206292007431073
38,0.9996767728930845,0.9981953139271194,0.9986015619797033,0.9524284072832613,0.9997769087147641,0.9989393858864836,0.9982412491547294,0.9496164486458633
39,0.999798775095734,0.998881930253612,0.999079233744961,0.9776979365659408,0.9998805947071308,0.9993735959389376,0.99884883686575,0.9683922202553049
40,0.9998860146581164,0.999308404557827,0.999393923794706,0.9953458945943722,0.9999540055360652,0.9996419711597901,0.999248199715556,0.9803226264116341
