Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
1,3.09269669783675,3.5328522099750583,3.7470677549343816,0.002735162478932988,0.0027905307028808363,0.0028195395944464983,0.01776875309089667,0.01760832867277579,0.01784434024367081,2.6529879674457456e-05,2.7620590103560437e-05,2.4553314702108923e-05,2.9607416980893557,3.212795859533242,3.410450575750382,0.005126368991289266,0.005212984738747701,0.0052115449785327065,0.011607110877654168,0.011694596363366198,0.011437021024386752,1.954550798618436e-05,1.9188080503921807e-05,1.856205233876831e-05
2,6.182667545194549,7.062680461113865,7.490922340649981,0.005470323662092649,0.0055810600903746345,0.005639077857837342,0.03553744667515791,0.03521659886670076,0.03568862058916856,5.3059759231088495e-05,5.524118000157096e-05,4.910662930423877e-05,5.919213964544433,6.423195763459747,6.8183909963446805,0.010252733806591342,0.010425964978623138,0.010423085627842577,0.023214197100995503,0.023389168083642775,0.022874018409675328,3.909101591299852e-05,3.8376160948852614e-05,3.712410461735381e-05
3,12.354450381286188,14.113285193042682,14.969013412269064,0.010940642141096643,0.011162114919205815,0.011278150391456831,0.07107465532530281,0.07043296381948785,0.07137700158718734,0.00010611951799087132,0.00011048235918094228,9.821325820856127e-05,11.829363720102073,12.836821568406105,13.626755699860057,0.020505450909259666,0.020851911961786665,0.020846153938821006,0.04642829558514136,0.04677823759532524,0.04574794226333236,7.818203158851623e-05,7.675232166174124e-05,7.424820899397635e-05
4,24.665510812873475,28.178427634632726,29.886872281413904,0.021881263549875893,0.022324208792275386,0.022556279486080355,0.14214835856278335,0.14086499199523764,0.14275304482211496,0.00021223903409652004,0.00022096471507308604,0.00019642651481745736,23.622578332595047,25.63547380346476,27.213520432158084,0.041010835003033146,0.04170375194197046,0.04169223861040302,0.09285619670609757,0.09355608090599464,0.09149550630558685,0.00015636406222710924,0.00015350464237962657,0.00014849641702502768
5,49.15864253012633,56.16555474519206,59.57047908869913,0.04376244417078005,0.04464833340030639,0.04511247378513231,0.28429290887211206,0.2817262415108527,0.2855022563339029,0.00042447806065215,0.0004419294169909788,0.00039285302323625437,47.101415524226645,51.11914776358371,54.26798398077634,0.08202140274576876,0.08340721595941392,0.08338420015359088,0.18571081558116143,0.18711058469884864,0.18298949975082426,0.0003127281206545256,0.0003070092809838295,0.0002969928301983553
6,97.63705125629578,111.57590103988305,118.33853628233985,0.08752455662805576,0.08929633006603997,0.0902246068245896,0.5685705855130302,0.5634375138658025,0.5709891802161408,0.0008489560911407418,0.0008838587813611904,0.0007857060208778687,93.63460595874876,101.63801352385423,107.90689173739094,0.16404173646352463,0.16681328023579556,0.16676729205224725,0.3714153200438346,0.3742148611489882,0.365972948251939,0.0006254562261102805,0.0006140185468659651,0.0005939856449899112
7,192.6249175568046,220.20829382512713,233.54970621104707,0.1750477864211547,0.17859131321302585,0.18044785068598768,1.1370802483614553,1.1268151572078968,1.1419170369419316,0.0016979120616272664,0.0017677173522393616,0.00157141193937719,185.04863606981095,200.92864973723567,213.35306860766394,0.32807919692041254,0.3336219538600632,0.33353015119616214,0.7428053972587515,0.7484044909338329,0.7319216930384211,0.001250912391425484,0.00122803703332516,0.0011879712283526308
8,375.1898397000406,429.22213540255274,455.20689369540224,0.3500902656549609,0.35717723890372693,0.3608902496752712,2.2739168561326575,2.2533908811074337,2.2835888304395953,0.0033958236406377955,0.0035354338625470396,0.0031428234692402906,361.60972220271435,392.8739556950333,417.28365434679273,0.656141290657543,0.6672254822387599,0.667042571650183,1.4855098363599146,1.496708069454471,1.4637465844800714,0.002501824539670704,0.002456073825023285,0.002375942210196544
9,713.9174566063163,817.7602687229003,867.2004371359577,0.7001593037802681,0.714332928949198,0.7217586938121308,4.546859550238584,4.505824419069304,4.56619709102572,0.006791645350809683,0.00707086435737049,0.0062856453004250315,692.0910892810796,752.7265868062655,799.8954603041406,1.3122141753272232,1.3343772702689782,1.3340142274603857,2.970615945318948,2.9930125935686127,2.927106060661627,0.005003648106620711,0.004912146683538789,0.004751883434358603
10,1305.877782323536,1498.8318282655202,1589.256669228058,1.4002337071984075,1.428579672312275,1.4434301754563856,9.089825651671553,9.00782258300058,9.128475130615133,0.013583282979764076,0.014141715243871793,0.012571284048634328,1277.9937772734697,1392.3757982521731,1480.8504478310808,2.624154780651471,2.6684598254226053,2.6677448485748254,5.939617822307616,5.984411839722471,5.8526644723279615,0.010007292322361491,0.00982428950104933,0.009503762924582361
11,2251.3789988287863,2591.130248155767,2747.0152736707014,2.8001278909771785,2.856814681032204,2.8865115821039784,18.1641030486909,18.00036503298375,18.241299824854256,0.02716653507217371,0.028283376604468214,0.025142541888457416,2233.0099153819942,2438.8521094734306,2596.895527693321,5.247215712660622,5.335741283869202,5.334355727642565,11.87278609249292,11.96237695252306,11.69914461412036,0.020014569081226147,0.019648563538008687,0.0190075100726501
12,3598.4923630778835,4154.159331655587,4403.3542083670245,5.5988983121390214,5.71225133734304,5.771628727499366,36.26621654592876,35.939807805738035,36.42020319202921,0.05433294659546342,0.05656653767744588,0.05028497894208346,3626.2381816033526,3971.8477843255882,4235.194895970481,10.490059478220871,10.666773043480614,10.664179220512999,23.719827602720812,23.899020158307493,23.373601899727458,0.040029075908648,0.0392970652198416,0.038014957039439745
13,5300.833191780048,6135.762914392543,6503.070013848626,11.192371730044991,11.418995607087146,11.537684810383308,72.28608903272055,71.63749961285085,72.59244911155746,0.10866539899966092,0.11313221324181676,0.10056953854815012,5426.6232436107175,5959.587360136662,6363.386342917766,20.962658692113582,21.314739471471555,21.310258588007237,47.3371036059325,47.69552837535831,46.64885236746156,0.08005790280354327,0.07859388301645312,0.07602966165702199
14,7233.487295655215,8387.893010546959,8889.775638288678,22.363083669593102,22.816003099955953,23.053119764408052,143.5995015672448,142.31891329728296,144.20588175767034,0.21732882126841813,0.2262609781344273,0.20113739977870215,7506.985831122663,8260.02140188436,8829.174765144426,41.85569563266552,42.55450325643296,42.548349497224144,94.26737859669419,94.98435790064119,92.90744937126551,0.1601148095637909,0.15718677635176967,0.15205831363928812
