Cycle,A,B,C,D,E,F,G,H
1,3.457538887582063,0.002781744258753441,0.017740474002447756,2.6234594826708935e-05,3.1946627111243266,0.005183632902856558,0.01157957608846904,1.909854694295816e-05
2,6.912090677286064,0.005563487203443676,0.03548088871159579,5.246918952306055e-05,6.38693430747682,0.010367261473628833,0.02315912786803476,3.819709382644887e-05
3,13.812253020850015,0.011126969150639234,0.07096154025151287,0.00010493837852469183,12.764318046273686,0.020734505618947945,0.04631815850084751,7.639418741502793e-05
4,27.57695248005378,0.022253917276323625,0.141922131828472,0.00020987675496366665,25.490544528084957,0.04146894192487628,0.09263592806393706,0.00015278837387857662
5,54.96495797929427,0.04450775045312896,0.2838404690560148,0.00041975350158446545,50.82960192691414,0.0829376065994284,0.1852703004018826,0.00030557674395123645
6,109.184094735135,0.08901516451059335,0.5676657604865478,0.0008395069697974622,101.06018522596364,0.1658741042115941,0.3705343781001135,0.0006111534726788063
7,215.46199672878876,0.17802898345779686,1.1352708166962304,0.0016790138061090697,199.77813786887108,0.33174377258640464,0.7410438669880026,0.0012223068844629517
8,419.8766980249784,0.35605258481617585,2.270298866072395,0.0033580270782748844,390.59411245126824,0.6634698027237558,1.4819881899440488,0.002444613525347306
9,799.6385604311017,0.7120836424677214,4.539627060954241,0.006716052020778055,748.2547728839722,1.3268686428350092,2.9635783062619465,0.004889226076380589
10,1464.6917506610318,1.424081186139801,9.075374618516772,0.013432095498479716,1383.7911103670415,2.6534534926747804,5.925565137491348,0.009778448255508025
11,2529.928513063482,2.847818055976895,18.135256621000575,0.026864156824737556,2423.0461831244083,5.3057722727681815,11.844770921980375,0.01955688092202693
12,4052.1712705555556,5.694259477411171,36.20874510725839,0.05372817696125717,3944.68111502119,10.607009366594237,23.66415667100364,0.03911369948828534
13,5980.169601547306,11.383017456074855,72.17202282324912,0.10745580717499895,5916.954820640598,21.19590732761737,47.22718836801288,0.07822714955500024
14,8170.816225405241,22.74406913802881,143.37480544020525,0.2149094274027865,8199.358334510549,42.3196025451152,94.05316787863345,0.15645330143574768
15,10447.11660171784,45.40059544219175,282.97041814169836,0.42981010735951175,10601.296443905201,84.35220937908876,186.52728614930172,0.31290261227071325
16,12647.24679924087,90.45355783064407,551.5575711510355,0.8595852276767764,12940.747570661022,167.5710163376082,366.936370214015,0.6257892629080823
17,14650.47692489234,179.5365164235648,1050.7722731899125,1.7190305291161396,15078.27911473041,330.72134168670016,710.862602170459,1.2515146854403016
18,16385.435447846878,353.7443672630071,1925.2969425074855,3.437501528664714,16929.558082021744,644.6077662866763,1339.7484249049967,2.5027740586250733
19,17826.443111529425,687.3192602029202,3324.7650774929207,6.872766340988557,18462.752912016374,1227.8839345353917,2412.878586635981,5.0045272620165395
20,18982.66518888163,1301.9595728243416,5315.159169800827,13.73659701404436,19686.572462020562,2248.8826354713387,4068.6102192606113,10.004974250292364
21,19884.84736330206,2363.1523156823364,7804.317519613506,27.437540648763758,20634.883003670035,3878.971398424621,6325.576223482613,19.993652533451375
22,20573.455219903906,4024.7586030380635,10562.433453797881,54.73317755957367,21352.77303558262,6183.455864539958,9032.248089506813,39.922321428986606
23,21090.16277838156,6320.290840863721,13313.549198288043,108.90434647554771,21886.58434127687,9027.755738392489,11921.008000497099,79.58629759004515
24,21472.89483813517,9089.315806900335,15822.86043136527,215.60439006908877,22278.199114666033,12104.150554449396,14709.875078325944,158.15173088912368
25,21753.656923173334,12024.561395395778,17944.649674240096,422.7244890386689,22562.636325165844,15058.171194602048,17182.15382805554,312.3170867038064
26,21958.146870694804,14796.973848969717,19629.08809601563,813.931874803204,22767.720532069154,17614.39373921302,19221.577189314896,609.4197021858645
27,22106.305344151097,17165.697071641207,20899.984467113307,1517.9764047071833,22914.805908798768,19639.00911201554,20807.004978473502,1163.1890837424423
28,22213.24094399938,19024.936307565255,21821.75637489684,2690.483535490491,23019.89152978717,21130.970447014388,21982.693270910007,2137.3966614171786
29,22290.210126569633,20387.454694691798,22470.903683798235,4443.805204009025,23094.76440393794,22170.897437885706,22823.671285448734,3703.9508024066613
30,22345.499882128657,21334.76870171522,22918.44085009646,6757.227262571702,23148.006344239806,22866.905055494048,23409.488962374577,5937.548525554043
31,22385.1595169815,21968.70471001442,23222.407226561172,9457.064301143448,23185.813709202055,23319.77118219647,23809.924545762005,8717.297967755236
32,22413.578252259966,22381.833940487875,23426.74644631455,12286.138201366964,23212.63424645564,23608.922902414495,24080.067514839062,11744.194671016547
33,22433.927082734812,22646.33385780232,23563.155317014003,14993.200544721614,23231.647313012112,23791.288837214386,24260.682687074826,14664.129511405265
34,22448.48985046034,22813.729606824123,23653.78974433797,17392.662096234726,23245.118924114126,23905.406105953167,24380.711049309764,17196.930466122758
35,22458.90783095502,22918.888786082018,23713.821597613198,19386.96418746911,23254.66077989817,23976.46315164291,24460.153852967866,19203.616723234198
36,22466.358670037673,22984.64149881692,23753.501017363073,20958.80151537647,23261.417516754733,24020.571003689267,24512.593080847328,20680.153992832937
37,22471.686402809843,23025.633636591738,23779.691857822556,22146.10014674976,23266.20121581794,24047.897612304532,24547.145964290772,21706.35367087472
38,22475.4954760711,23051.142270748052,23796.963647314766,23013.925286437145,23269.587597850827,24064.807266559183,24569.886545725458,22390.52787970175
39,22478.218510045514,23066.997585702684,23808.346829925995,23632.82216882915,23271.98460479937,24075.263156645193,24584.841403780618,22833.717170846932
40,22480.16501690494,23076.84567585808,23815.846075864003,24066.361860308494,23273.681188137998,24081.725463655464,24594.67113252128,23115.341949811984
